DeLa,Id,PinaLa,Tip,Zile,RestrictiiTren_Id
"20150602","6","20150613","Da","383",176
"20150915","7","20151129","Da","383",176
"20151202","8","20151212","Da","383",176
"20141214","1","20151212","Da","383",177
"20141214","1","20151212","Da","16767",178
"20141214","1","20151212","Da","16767",179
"20141214","1","20151212","Da","16767",180
"20141214","1","20151212","Da","287",181
"20141214","1","20141224","Da","319",182
"20141227","2","20141231","Da","319",182
"20150103","3","20150412","Da","319",182
"20150414","4","20150430","Da","319",182
"20150502","5","20150531","Da","319",182
"20150602","6","20150814","Da","319",182
"20150816","7","20151129","Da","319",182
"20151202","8","20151212","Da","319",182
"20141214","1","20151212","Da","264",183
"20141214","1","20151212","Da","287",184
"20141214","1","20151212","Da","16767",185
"20141214","1","20151212","Da","16767",186
"20141214","1","20151212","Da","16767",187
"20141214","1","20151212","Da","16767",188
"20141214","1","20151212","Da","16767",189
"20141214","1","20151212","Da","16767",190
"20141214","1","20151212","Da","16767",191
"20150301","1","20151212","Da","383",192
"20141214","1","20150612","Da","383",193
"20150915","2","20151212","Da","383",193
"20141214","1","20141224","Da","799",194
"20141227","2","20141231","Da","799",194
"20150103","3","20150412","Da","799",194
"20150414","4","20150430","Da","799",194
"20150502","5","20150531","Da","799",194
"20150602","6","20151129","Da","799",194
"20151202","7","20151212","Da","799",194
"20141214","1","20150612","Da","383",195
"20150914","2","20151212","Da","383",195
"20141214","1","20151212","Da","16767",196
"20141214","1","20151212","Da","16767",197
"20141214","1","20151212","Da","16767",198
"20141214","1","20151212","Da","16767",199
"20141214","1","20151212","Da","16767",200
"20150301","1","20151212","Da","383",201
"20141214","1","20151212","Da","16767",202
"20150301","1","20151212","Da","383",203
"20141214","1","20151212","Da","16767",204
"20141214","1","20151212","Da","16767",205
"20141214","1","20151212","Da","16767",206
"20141214","1","20141221","Da","784",207
"20150103","2","20150103","Da","784",207
"20150105","3","20150131","Da","784",207
"20150208","4","20150412","Da","784",207
"20150419","5","20150430","Da","784",207
"20150502","6","20150531","Da","784",207
"20150602","7","20150620","Da","784",207
"20150912","8","20151129","Da","784",207
"20151202","9","20151212","Da","784",207
"20141214","1","20151212","Da","16767",208
"20150613","1","20150914","Da","383",209
"20141214","1","20141224","Da","319",210
"20141227","2","20141231","Da","319",210
"20150103","3","20150412","Da","319",210
"20150414","4","20150430","Da","319",210
"20150502","5","20150531","Da","319",210
"20150602","6","20150814","Da","319",210
"20150816","7","20151129","Da","319",210
"20151202","8","20151212","Da","319",210
"20141214","1","20150612","Da","383",211
"20150914","2","20151212","Da","383",211
"20141214","1","20151212","Da","287",212
"20141214","1","20151212","Da","16767",213
"20141214","1","20151212","Da","16767",214
"20141214","1","20151212","Da","16767",215
"20141214","1","20151212","Da","16767",216
"20141214","1","20151212","Da","895",217
"20141214","1","20151212","Da","16767",218
"20141214","1","20151212","Da","16767",219
"20141214","1","20151212","Da","16767",220
"20141214","1","20151212","Da","319",221
"20141214","1","20151212","Da","383",222
"20141214","1","20151212","Da","16767",223
"20141214","1","20151212","Da","16767",224
"20141214","1","20151212","Da","16767",225
"20141214","1","20141224","Da","319",226
"20141227","2","20141231","Da","319",226
"20150103","3","20150412","Da","319",226
"20150414","4","20150430","Da","319",226
"20150502","5","20150531","Da","319",226
"20150602","6","20150814","Da","319",226
"20150816","7","20151129","Da","319",226
"20151202","8","20151212","Da","319",226
"20141214","1","20151212","Da","16767",227
"20141214","1","20151212","Da","16767",228
"20141214","1","20151212","Da","16767",229
"20141214","1","20151212","Da","351",230
"20141214","1","20151212","Da","16767",231
"20141214","1","20151212","Da","351",232
"20141214","1","20151212","Da","16767",233
"20141214","1","20151212","Da","831",234
"20141214","1","20151212","Da","16767",235
"20141214","1","20151212","Da","863",236
"20141214","1","20151212","Da","272",237
"20141214","1","20151212","Da","319",238
"20141214","1","20151212","Da","16767",239
"20141214","1","20151212","Da","351",240
"20141214","1","20151212","Da","16767",241
"20141214","1","20151212","Da","351",242
"20141214","1","20151212","Da","16767",243
"20141214","1","20151212","Da","16767",244
"20141214","1","20151212","Da","16767",245
"20141214","1","20151212","Da","16767",246
"20141214","1","20151212","Da","799",247
"20131215","1","20151212","Da","383",248
